"","bacc","specificity","sensitivity","threshold","beta0","beta1","beta2","beta3","beta4"
"158",0.876042245692051,0.894941634241245,0.857142857142857,0.336135504455523,-14.8143605991509,-21.9720536086425,33.6921507408242,0.0497558677071214,6.39619159915208
"159",0.834722994256068,0.859922178988327,0.80952380952381,0.322094398581706,-14.516760632271,-20.0309824970556,31.614738232203,0.055374849958958,6.3599841146687
"160",0.848187264529677,0.90272373540856,0.793650793650794,0.337904991050191,-14.3179344970867,-22.41132477539,33.5930798376818,0.0484306867638653,6.25023392262227
"161",0.818139707244766,0.731517509727626,0.904761904761905,0.208891935211537,-11.9103518472344,-19.3994499173931,28.5779953891051,0.0525689057977744,4.82698667645295
"162",0.872151195108394,0.88715953307393,0.857142857142857,0.33581859663443,-12.3986997707004,-18.1455202071016,27.953887865227,0.0562180075667309,4.83265496271017
"163",0.815422148106973,0.805447470817121,0.825396825396825,0.305828099253218,-12.3010182209267,-16.7305962170607,26.5383322568672,0.0600387067105031,5.00047033246205
"164",0.786702489037119,0.700389105058366,0.873015873015873,0.222567059894944,-13.5422893941421,-21.3101679582618,31.8997097208151,0.0496693855345365,5.63000439693045
"165",0.830523130134025,0.883268482490272,0.777777777777778,0.344641733133333,-13.1906626014153,-22.4128265289807,32.3386926779192,0.052552918802294,6.27130620305612
"166",0.832777468964239,0.856031128404669,0.80952380952381,0.33181545010578,-14.4482099092785,-22.5738761282384,33.7249124560116,0.0542490033797032,6.72693316245573
"167",0.800259403372244,0.933852140077821,0.666666666666667,0.378762377848135,-13.2147609767022,-21.6453123675924,31.7710773444451,0.0487347252597745,6.05320796186348
"168",0.870051263047372,0.898832684824903,0.841269841269841,0.324458547129339,-14.9516194981232,-22.0122373449319,33.8911768496116,0.0476709899996228,6.39846050317383
"169",0.834568587486875,0.875486381322957,0.793650793650794,0.367335747730597,-14.5526821728196,-22.2750934658233,33.6885445912917,0.0559584036716378,6.07058277218971
"170",0.850132789821506,0.906614785992218,0.793650793650794,0.32366682480645,-15.1951647096568,-21.787892684895,33.8733351858769,0.0484895343125276,6.79103465882489
"171",0.776295472793527,0.949416342412451,0.603174603174603,0.414103867165257,-14.2387918288797,-21.0159680201445,32.1013373999646,0.048417466679537,7.21075027643952
"172",0.850441603359891,0.875486381322957,0.825396825396825,0.317300771112342,-14.3125299163733,-21.7948922857959,33.0992572841536,0.0531560366867463,5.60557838803799
"173",0.846550552776234,0.867704280155642,0.825396825396825,0.327777984224705,-13.9137012108815,-22.1130107857628,32.8688634214016,0.0519357963337195,6.22816054004053
"174",0.854332653943549,0.883268482490272,0.825396825396825,0.339910131559438,-16.500325324569,-24.3484179598457,37.4297222252841,0.048346471066633,7.40209031071059
"175",0.846550552776234,0.867704280155642,0.825396825396825,0.317298777851022,-11.3303717372854,-17.3393758659632,26.0145213126571,0.0551897349825401,5.4029214371012
"176",0.81270458896918,0.879377431906615,0.746031746031746,0.346967926278685,-12.1613113062176,-17.1158613404888,26.7501812753309,0.0587662582251638,4.94199849177058
"177",0.862577975418442,0.852140077821012,0.873015873015873,0.317149405980841,-11.7506743110674,-19.2147973550863,28.1707989702637,0.0524239155079966,5.29906669424506
"178",0.856586992773763,0.856031128404669,0.857142857142857,0.299200409831508,-13.3875764356189,-19.7427363351806,30.3040916930003,0.0529336297873069,5.6816111467419
"179",0.864523500710271,0.856031128404669,0.873015873015873,0.344995805963432,-10.0173551570904,-18.8753227204585,26.1290465788746,0.051659504365265,4.79915549280489
"180",0.766567846334383,0.929961089494163,0.603174603174603,0.417810247555723,-15.3023851526833,-22.6186728921276,34.7401754137314,0.0582316902213217,6.07314316400606
"181",0.812395775430795,0.910505836575875,0.714285714285714,0.344799499583983,-12.9011912754905,-20.925727955076,30.8485007238207,0.0528667225986077,5.49937787082334
"182",0.846550552776234,0.867704280155642,0.825396825396825,0.344058677208794,-13.2674196850098,-21.2557571057735,31.4486991531254,0.0566603270869175,5.78342096507651
"183",0.820949910444074,0.848249027237354,0.793650793650794,0.326806528465048,-13.7780284900047,-22.1673664739437,32.8294191017076,0.0511850386129037,5.9491901989058
"184",0.846396146007041,0.883268482490272,0.80952380952381,0.302798060810207,-11.2935732483707,-18.4938216602166,27.149781912982,0.0543668115670954,4.44772632750113
"185",0.846396146007041,0.883268482490272,0.80952380952381,0.338322020091813,-13.3162260373789,-19.3842992361342,29.8746495443911,0.0552663282590185,5.74009944671867
"186",0.824532147489346,0.88715953307393,0.761904761904762,0.353652359080985,-15.5549519609113,-23.0487590570774,35.2921268026641,0.0557788649794832,6.84218463689878
"187",0.850441603359891,0.875486381322957,0.825396825396825,0.337605724424668,-16.4364325457453,-24.5954290508761,37.6605918127456,0.0481895083917425,6.94899339518059
"188",0.841887468346612,0.937743190661479,0.746031746031746,0.364445926950889,-15.144266447552,-23.7582523349333,35.5705405180464,0.0445967274908343,6.95328406989534
"189",0.85238712865172,0.879377431906615,0.825396825396825,0.330440101708752,-12.7534641135352,-20.2145848963585,30.1001034416173,0.0530893789788369,5.31017606748192
"190",0.860478043357421,0.863813229571984,0.857142857142857,0.321843036898379,-13.8845236521167,-21.0091136261541,31.9246970215034,0.0500803242729261,6.00363901406734
"191",0.832623062195047,0.8715953307393,0.793650793650794,0.346043642013394,-14.511945618886,-21.8731891278492,33.3114534021735,0.0576887199423203,5.77891357962967
"192",0.814804521030202,0.867704280155642,0.761904761904762,0.31056284506002,-10.9281471377288,-19.3861143785705,27.4607458848581,0.0563926063835119,4.82634179113671
"193",0.84834167129887,0.88715953307393,0.80952380952381,0.322116197101327,-14.436443750791,-21.6006142299305,32.9738415716535,0.0523859395880433,6.15000334565794
"194",0.844296213946019,0.894941634241245,0.793650793650794,0.355779693794866,-13.1961899499,-19.2872751707169,29.6589225679754,0.0559820865954376,5.73059636045608
"195",0.846396146007041,0.883268482490272,0.80952380952381,0.343304282834,-13.70375380163,-20.8632373521636,31.6902118061013,0.0561692857023247,5.16590513454179
"196",0.836205299240319,0.910505836575875,0.761904761904762,0.355195267587539,-12.0468182645772,-21.174373156302,30.2091222834185,0.0499302224116273,5.41248372379032
"197",0.866314619232907,0.875486381322957,0.857142857142857,0.351618322529316,-12.7982834687168,-20.0270700854735,29.8822116160723,0.0603531642333695,5.49251317153814
