,Date,Open,Close,High,Low,Volume
0,1635652800000,61706.0,61432.98939276,61736.0,61431.0,36.91641247
1,1635649200000,61747.0,61696.0,61869.0,61604.0,57.83182067
2,1635645600000,62182.0,61745.0,62297.0,61633.0,130.75396656
3,1635642000000,62381.0,62175.0,62415.0,62134.74377872,60.19134156
4,1635638400000,61879.0,62381.0,62387.60846244,61879.0,164.96062721
5,1635634800000,61577.0,61880.0,61916.0,61526.0,70.09215173
6,1635631200000,61483.97417914,61578.425554,61640.0,61245.0,92.09552505
7,1635627600000,61700.0,61481.0,61725.0,61481.0,100.63069883
8,1635624000000,61734.40970431,61700.0,61969.0,61600.0,122.23919106
9,1635620400000,61580.97054828,61730.0,61800.0,61483.0,43.8001065
10,1635616800000,61429.0,61580.73983538,61587.75608432,61397.0,47.154446
11,1635613200000,61259.0,61429.0,61574.0373759,61150.0,55.37962523
12,1635609600000,61395.0,61257.26177057,61530.0,61104.0,152.77004145
13,1635606000000,61225.0,61377.0,61450.0,61203.0,66.78962869
14,1635602400000,61579.0,61226.0,61674.0,60755.0,458.36277014
15,1635598800000,61649.56269578,61579.0,62285.0,61344.09684379,198.01127623
16,1635595200000,61592.0,61645.71230382,61700.04913437,61403.0,51.59885006
17,1635591600000,61830.0,61600.0,62000.0,61554.0,68.87222389
18,1635588000000,61438.0,61828.0,61915.4376316,61285.5416592,87.97142318
19,1635584400000,61341.0,61438.0,61628.0,61261.0,49.78389729
20,1635580800000,61600.0,61345.0,61683.0,61100.0,151.1790465
21,1635577200000,61794.0,61590.0,61794.0,61529.0,41.0324714
22,1635573600000,61575.0,61819.0,61898.0,61437.0,49.68018336
23,1635570000000,61489.0,61575.0,61680.0,61290.0,67.37560528
24,1635566400000,61669.0,61485.0,61931.0,61470.0,61.15667999
25,1635562800000,61882.0,61670.0,61972.0,61627.57314865,31.23025837
26,1635559200000,62041.0,61903.0,62064.0,61806.0,21.67323024
27,1635555600000,61935.0,62047.0,62164.0,61859.0,36.47256847
28,1635552000000,62264.0,61935.0,62353.0,61740.0,115.37742104
29,1635548400000,62336.0,62257.71552291,62409.0,62076.0,30.67670762
30,1635544800000,62373.0,62332.0,62456.0,62183.0,60.27744626
31,1635541200000,62383.0,62373.0,62483.0,62152.0,67.24016307
32,1635537600000,62553.0,62381.0,62724.0,62279.0,71.38651097
33,1635534000000,62070.0,62534.0,62653.0,61911.0,81.77545052
34,1635530400000,62377.0,62085.0,62459.0,62000.0,85.78420736
35,1635526800000,62610.0,62376.0,62664.72054956,62293.0,192.71389148
36,1635523200000,62291.57883186,62610.0,62980.0,62291.57883186,516.82206242
37,1635519600000,61264.0,62305.0,62555.0,61232.0,393.74369008
38,1635516000000,61306.14547431,61267.0,61348.0,61025.0,231.52330891
39,1635512400000,60970.0,61299.9784945,61356.0,60756.0,110.38745736
40,1635508800000,60964.8306341,60972.0,61444.0,60761.0,202.08828579
41,1635505200000,61037.0,60966.0,61157.0,60575.0,75.13415325
42,1635501600000,60889.0,61037.74299346,61068.0,60586.0,82.18395489
43,1635498000000,60945.0,60888.0,61357.0,60822.0,180.42740103
44,1635494400000,60559.0,60945.0,60986.0,60433.20254046,183.03413371
45,1635490800000,61373.0,60547.0,61373.0,60376.0,270.23816876
46,1635487200000,61022.0,61373.0,61430.0,60928.0,41.3107595
47,1635483600000,61552.0,61010.0,61599.15496081,60742.0,139.7011399
48,1635480000000,61697.90533679,61562.97234364,61721.0,61422.0,87.18831888
49,1635476400000,61607.3214298,61690.0,61868.0,61565.0,90.10582376
50,1635472800000,61422.40750147,61602.0,61751.0,61386.0,90.88430904
