,Date,Open,Close,High,Low,Volume
68,1635408000000,1.0544,1.0734,1.0738,1.0488,666568.68308679
69,1635404400000,1.0421,1.054,1.0619,1.0373,895868.43325255
70,1635400800000,1.0172,1.0421,1.0502,1.0126,2118491.26252905
71,1635397200000,1.0167,1.018,1.0201,1.0024,1158882.50517056
72,1635393600000,1.0062,1.0188,1.04,0.99701,1877069.99159304
73,1635390000000,1.0044,1.0065,1.009,0.99989,441470.21526525
74,1635386400000,1.0042,1.0045,1.0045,0.99602,231961.44964027
75,1635382800000,0.9831,1.0056,1.0067,0.98121,388872.07660785
76,1635379200000,0.99512,0.98361,1.0105,0.9808,533486.85685669
77,1635375600000,1.0098,0.99449,1.0134,0.99261,558113.69164211
78,1635372000000,1.0142,1.0096,1.0149,1.0033,198589.82166982
79,1635368400000,1.0121,1.0137,1.0185,1.0121,123649.03719738
80,1635364800000,1.0139,1.0114,1.0212,1.0032,488701.46521381
81,1635361200000,1.0113,1.0137,1.0139,0.99,1370034.26257467
82,1635357600000,1.0172,1.0109,1.023,1.0109,259575.92489797
83,1635354000000,1.0203,1.0174,1.0268,1.0154,130609.46105192
84,1635350400000,1.0206,1.021,1.0256,1.0106,285077.19367059
85,1635346800000,1.0301,1.0214,1.0328,1.016,324191.22373654
86,1635343200000,1.0183,1.0303,1.0341,1.0114,491259.68603993
87,1635339600000,1.0258,1.0189,1.0294,1.0175,530457.54247128
88,1635336000000,1.0138,1.0261,1.0264,1.0066,750294.31037509
89,1635332400000,1.0178,1.0141,1.0294,1.0113,357959.51450895
90,1635328800000,1.0132,1.019,1.0228,1.004,1302998.74735916
91,1635325200000,1.0318,1.0132,1.0326,0.99335,2311576.37931527
92,1635321600000,1.0807,1.0318,1.0807,0.94694,12867870.77207642
93,1635318000000,1.1004,1.0806,1.105,1.0783,1150736.35020913
94,1635314400000,1.1104,1.101,1.1175,1.0994,943027.27702012
95,1635310800000,1.1155,1.1093,1.1179,1.1089,160091.34029707
96,1635307200000,1.1113,1.1161,1.1213,1.1057,313837.71911473
97,1635303600000,1.1125,1.1114,1.1173,1.1067,253450.52039656
98,1635300000000,1.1158,1.1132,1.1182,1.1109,148574.65014319
99,1635296400000,1.1184,1.1163,1.1239,1.1145,185418.25926645
100,1635292800000,1.1068,1.1186,1.1186,1.1004,328262.8217783
101,1635289200000,1.1028,1.1068,1.1109,1.0995,446448.38458383
102,1635285600000,1.1274,1.1039,1.1321,1.0887,2384183.05670807
103,1635282000000,1.1579,1.1272,1.1593,1.1262,1835010.34038372
104,1635278400000,1.115,1.1577,1.1578,1.1145,1632883.91211883
105,1635274800000,1.1127,1.1159,1.1258,1.1111,1308777.55601584
106,1635271200000,1.1122,1.1118,1.1178,1.1103,446733.39369346
107,1635267600000,1.1011,1.1117,1.1143,1.0979,373061.33636823
108,1635264000000,1.1086,1.1009,1.1103,1.1004,772810.20203395
109,1635260400000,1.1026,1.1088,1.11,1.0989,243795.47588053
110,1635256800000,1.1112,1.1027,1.1112,1.0936,683677.77184939
111,1635253200000,1.1135,1.1115,1.1145,1.1091,110999.78041036
112,1635249600000,1.1147,1.1142,1.118,1.1082,269979.30846315
113,1635246000000,1.1208,1.1146,1.1211,1.1139,185996.17493677
114,1635242400000,1.1181,1.1207,1.1218,1.1147,334571.59768432
115,1635238800000,1.1218,1.1183,1.1229,1.1165,267485.66988962
116,1635235200000,1.1256,1.122,1.1281,1.1194,305893.80055902
117,1635231600000,1.1194,1.1252,1.1255,1.1164,318005.5650094
118,1635228000000,1.1238,1.1192,1.1238,1.1177,177916.59426783
119,1635224400000,1.1128,1.1233,1.1301,1.1128,565859.10708851
120,1635220800000,1.1151,1.1119,1.1179,1.1068,339514.39453075
121,1635217200000,1.1184,1.1152,1.126,1.112,593606.90393828
122,1635213600000,1.1099,1.1185,1.1186,1.1099,140121.25398625
123,1635210000000,1.1043,1.1092,1.1153,1.1004,369857.78807589
124,1635206400000,1.0959,1.1043,1.1048,1.093,236919.10356276
125,1635202800000,1.0956,1.0955,1.0959,1.0939,44166.51486134
126,1635199200000,1.0908,1.0956,1.0962,1.0874,155108.2377759
127,1635195600000,1.091,1.091,1.0971,1.0905,228965.76543391
128,1635192000000,1.0923,1.0912,1.0937,1.0903,317521.89859395
129,1635188400000,1.095,1.0923,1.0952,1.0902,121654.99580116
130,1635184800000,1.0948,1.0952,1.0956,1.0909,69856.97184553
131,1635181200000,1.099,1.0944,1.1005,1.0923,146272.62265165
132,1635177600000,1.1021,1.0986,1.103,1.0971,184952.08108489
133,1635174000000,1.0927,1.1033,1.1037,1.0915,285080.46194657
134,1635170400000,1.0929,1.0933,1.0933,1.0887,184912.47823904
135,1635166800000,1.088,1.0926,1.0928,1.0847,405560.52285869
136,1635163200000,1.0888,1.0881,1.0894,1.086,62406.37466264
137,1635159600000,1.0901,1.0894,1.0902,1.0868,107977.41385899
138,1635156000000,1.0907,1.0901,1.0916,1.0859,210187.6458308
139,1635152400000,1.0935,1.0904,1.095,1.0901,119959.39984472
140,1635148800000,1.0966,1.0941,1.099,1.0934,50622.48811323
141,1635145200000,1.0909,1.0962,1.1002,1.0908,148209.21682213
142,1635141600000,1.0932,1.0912,1.0939,1.0903,87030.90931506
143,1635138000000,1.0918,1.0929,1.0936,1.0906,81613.27309873
144,1635134400000,1.0921,1.0915,1.0931,1.0865,107473.94022732
145,1635130800000,1.0931,1.0909,1.0938,1.0908,74926.69117502
146,1635127200000,1.0922,1.0931,1.0933,1.0895,66602.44033602
147,1635123600000,1.0965,1.0916,1.0994,1.0896,236393.31383788
148,1635120000000,1.0821,1.0968,1.1005,1.0778,793019.79247001
149,1635116400000,1.0813,1.0829,1.0838,1.0782,165992.71465574
150,1635112800000,1.0797,1.081,1.0863,1.0768,429628.46079104
151,1635109200000,1.0766,1.0797,1.08,1.075,361392.2806812
152,1635105600000,1.0717,1.0765,1.0765,1.0699,140040.92929731
153,1635102000000,1.0653,1.0714,1.0727,1.0646,229245.87204237
