,Date,Open,Close,High,Low,Volume
41,1635505200000,197.53,196.18,198.19,195.66,988.64582748
42,1635501600000,198.07,196.64,198.76,195.75,3506.64835305
43,1635498000000,198.73,198.14,199.76,198.14,2339.28580529
44,1635494400000,198.21,198.82,198.83,196.81,2092.76267696
45,1635490800000,200.3,198.23,200.3,196.68,7832.55338647
46,1635487200000,199.1,200.16,201.29,198.22,4431.70836888
47,1635483600000,200.54,198.53,201.25,197.72,20644.77834068
48,1635480000000,201.88,201.05,202.28,200.31,3871.61877327
49,1635476400000,202.33,201.71,203.84,201.25,3071.65046384
50,1635472800000,202.45,202.34,205.02,201.89,11947.49796744
51,1635469200000,199.48,202.73,203.18,197.94,26339.72416218
52,1635465600000,195.3,199.27,199.27,194.76,5185.32575999
53,1635462000000,195.75,195.3,196.15,193.99,4514.33568608
54,1635458400000,195.0,195.65,197.24,194.57,1158.82882206
55,1635454800000,197.95,195.06,197.99,194.64,3695.37290464
56,1635451200000,198.5,197.81,200.85,197.31,11329.75915976
57,1635447600000,194.64,198.41,198.58,192.38,8202.82835957
58,1635444000000,196.87,194.64,197.56,192.08,30680.41841495
59,1635440400000,197.05,196.98,198.58,196.32,1709.6587844
60,1635436800000,197.42,197.3,198.76,196.63,3161.31841683
61,1635433200000,198.83,197.3,199.71,196.65,4374.1811407899995
62,1635429600000,199.23,198.61,201.29,198.01,18890.19046036
63,1635426000000,197.91,199.27,199.96,196.99,7741.13816603
64,1635422400000,195.72,197.7,198.86,194.89,1733.9759887
65,1635418800000,196.47,195.31,196.95,194.83,4418.15881526
66,1635415200000,197.23,196.71,198.67,195.86,6078.29946607
67,1635411600000,197.9,196.73,198.24,194.21,20393.46536525
68,1635408000000,187.11,197.37,199.12,187.02,35164.71773868
69,1635404400000,187.6,187.1,188.87,185.85,3601.68618738
70,1635400800000,191.01,187.82,191.12,184.94,5325.45453129
71,1635397200000,187.78,190.87,191.12,187.78,4233.59261293
72,1635393600000,187.01,187.71,189.4,187.01,4075.54841295
73,1635390000000,188.4,186.92,190.22,185.88,8423.8995327
74,1635386400000,187.62,188.26,188.71,186.2,1924.70866813
75,1635382800000,182.02,187.61,187.61,181.57,1779.75826135
76,1635379200000,184.44,181.91,187.16,181.91,2216.98105074
77,1635375600000,183.95,184.26,185.07,182.34,3114.19623223
78,1635372000000,190.18,183.89,190.54,181.48,16785.71786373
79,1635368400000,188.24,189.57,190.73,188.24,2553.19362291
80,1635364800000,189.29,188.49,191.02,186.48,8859.94391728
81,1635361200000,189.3,189.33,189.58,184.61,10430.90120339
82,1635357600000,188.7,189.0,192.07,188.67,3403.31485889
83,1635354000000,189.18,188.42,191.36,187.77,6213.11448197
84,1635350400000,188.84,189.31,190.71,186.13,12922.45413425
85,1635346800000,190.99,188.9,193.0,188.44,3414.58755267
86,1635343200000,189.4,191.4,191.99,187.32,12018.43979161
87,1635339600000,191.3,189.53,194.09,189.2,8498.29871973
88,1635336000000,189.88,191.85,192.12,188.36,7156.38435693
89,1635332400000,191.49,190.1,195.22,189.37,18147.01149027
90,1635328800000,189.6,191.61,193.49,186.33,22225.16675057
91,1635325200000,191.85,189.84,191.85,184.43,35019.60308392
92,1635321600000,194.07,192.31,195.67,179.48,93855.81209565
93,1635318000000,199.12,194.09,199.58,194.06,9141.5561821
94,1635314400000,202.67,199.12,203.11,199.11,8249.54722854
95,1635310800000,204.44,202.67,204.61,202.5,1346.77689602
96,1635307200000,202.64,203.93,205.41,202.0,7169.90354996
97,1635303600000,201.84,202.87,204.46,201.79,793.6776673
98,1635300000000,201.89,201.68,202.23,200.58,1011.85524617
99,1635296400000,203.56,201.9,204.67,201.59,5617.50913783
100,1635292800000,199.7,203.74,203.88,198.07,10972.36256979
101,1635289200000,198.42,199.55,200.9,198.03,5500.72560727
102,1635285600000,202.65,198.33,203.28,196.63,92028.67728512
103,1635282000000,205.99,202.71,205.99,202.2,6029.8090521799995
104,1635278400000,207.26,206.04,207.49,205.93,1779.39171355
105,1635274800000,207.0,206.87,208.78,206.53,1517.43405429
106,1635271200000,208.45,206.81,209.55,206.41,3521.47115207
107,1635267600000,204.55,208.44,208.45,204.5,3172.87338267
108,1635264000000,206.76,204.68,207.15,204.15,3371.3148495
109,1635260400000,204.27,206.76,207.33,204.07,10141.20286394
110,1635256800000,206.87,204.79,206.87,202.7,23025.45501553
111,1635253200000,207.38,206.87,208.33,206.53,1332.58844344
112,1635249600000,207.45,207.69,208.35,206.13,4432.11874973
113,1635246000000,209.55,207.51,210.18,207.5,2036.54345079
114,1635242400000,208.84,209.68,210.9,207.76,3107.58374094
115,1635238800000,209.0,208.85,209.0,207.81,2145.17634037
116,1635235200000,209.34,208.83,211.6,208.52,11867.28674624
117,1635231600000,206.6,209.28,209.43,206.55,6513.0974815399995
118,1635228000000,206.7,206.62,208.03,205.8,4289.097995
119,1635224400000,206.59,207.05,208.66,206.59,883.58215422
120,1635220800000,208.68,206.61,209.27,206.1,12824.09323221
121,1635217200000,210.04,208.79,210.3,207.65,1638.50516594
122,1635213600000,208.61,210.13,210.38,207.95,924.77762424
123,1635210000000,210.81,208.48,210.9,207.68,9930.59979507
124,1635206400000,209.87,210.88,214.14,208.88,5531.93369146
125,1635202800000,211.67,209.97,212.43,209.66,2630.22612386
126,1635199200000,210.5,211.86,212.25,208.08,4462.87676542
127,1635195600000,211.57,210.57,214.18,210.16,942.31581873
128,1635192000000,210.57,211.69,213.16,209.52,5629.41023891
129,1635188400000,211.65,210.42,212.95,210.11,3923.01519807
130,1635184800000,213.88,211.75,214.45,211.01,8068.47683247
131,1635181200000,216.83,213.99,217.03,211.34,13319.4602233
132,1635177600000,218.4,216.66,218.44,215.18,2636.73602276
133,1635174000000,213.68,218.45,219.37,213.62,38444.13961765
134,1635170400000,208.17,213.85,214.29,207.5,40876.49307572
135,1635166800000,206.79,208.26,209.14,205.01,3980.40821961
136,1635163200000,207.57,206.82,209.8,206.6,5702.72287153
137,1635159600000,207.98,207.65,209.55,207.59,2188.74043698
138,1635156000000,208.7,207.55,209.98,205.67,8860.38465875
139,1635152400000,211.97,208.63,211.97,208.35,6371.1262251
140,1635148800000,207.85,211.96,212.71,207.27,9626.523320710001
141,1635145200000,208.99,207.78,209.24,206.8,3496.01123841
142,1635141600000,208.01,208.59,210.73,206.74,11699.47024727
143,1635138000000,203.68,207.78,208.09,202.5,13092.87797644
144,1635134400000,202.11,203.65,203.86,200.81,3134.80249654
145,1635130800000,200.5,202.11,203.2,199.78,3495.5164716
146,1635127200000,201.07,200.25,201.26,198.34,5039.95251391
147,1635123600000,202.66,200.97,203.95,199.19,7779.83807881
148,1635120000000,202.31,202.66,202.94,198.2,13662.78954378
149,1635116400000,201.9,202.7,204.19,200.97,2291.37004788
150,1635112800000,199.69,201.98,204.8,199.67,28620.80038859
151,1635109200000,193.88,199.75,199.79,193.88,58996.38743202
152,1635105600000,191.77,193.4,193.88,190.51,17524.22816536
153,1635102000000,188.09,191.6,191.79,188.09,4636.73128859
154,1635098400000,189.27,187.9,189.35,186.5,6842.9523993
155,1635094800000,190.76,189.24,191.43,189.24,5697.01110832
156,1635091200000,186.7,190.72,190.99,185.46,8429.21952765
157,1635087600000,188.39,186.84,189.08,185.53,11052.01525136
158,1635084000000,190.3,188.34,190.67,187.65,7597.27846486
159,1635080400000,190.96,190.34,192.48,190.34,4244.08219877
160,1635076800000,188.9,191.12,191.12,187.24,15979.24948255
161,1635073200000,194.05,188.87,194.32,188.17,55104.718785619996
162,1635069600000,194.18,194.09,195.72,194.0,2326.88480381
163,1635066000000,193.69,194.15,196.49,193.52,4460.79291033
164,1635062400000,194.13,193.75,194.79,193.01,2184.09787717
165,1635058800000,193.19,194.15,195.55,192.56,3669.69896685
166,1635055200000,194.27,193.17,195.26,192.55,7286.98974678
167,1635051600000,195.94,194.25,196.11,194.12,1986.28316376
168,1635048000000,196.52,195.9,196.77,195.05,3746.58556762
169,1635044400000,196.78,196.53,197.58,196.37,190.94862895
170,1635040800000,197.75,196.82,197.75,195.78,526.97356966
171,1635037200000,197.14,197.88,198.59,195.94,687.1120915500001
172,1635033600000,197.76,197.18,200.0,196.79,8089.56596267
173,1635030000000,196.5,197.74,198.19,195.22,3142.87861828
174,1635026400000,196.07,196.46,197.79,195.94,2472.02343345
175,1635022800000,196.19,196.0,196.7,195.1,750.05863416
176,1635019200000,193.77,196.27,196.27,193.77,1997.68836821
177,1635015600000,195.2,193.89,195.2,193.1,5696.80973225
178,1635012000000,195.46,195.04,197.06,194.15,2472.41705398
179,1635008400000,198.5,195.58,198.82,195.31,8376.05871738
180,1635004800000,199.17,198.27,202.0,198.0,43046.735267949996
181,1635001200000,197.78,199.02,200.48,196.94,11332.09205085
182,1634997600000,199.41,197.77,199.84,197.54,2033.61859429
183,1634994000000,201.58,199.27,201.58,198.12,3831.40366313
184,1634990400000,202.36,201.37,202.52,200.8,1616.57496278
185,1634986800000,198.21,202.0,202.51,197.04,56894.13503419
186,1634983200000,200.06,198.32,201.38,198.3,3944.54099566
187,1634979600000,202.87,200.02,202.87,197.67,4227.75485578
188,1634976000000,201.39,202.36,203.07,201.39,1366.86038403
189,1634972400000,201.61,201.61,202.48,199.32,4595.02325834
190,1634968800000,201.21,200.49,201.93,199.0,5091.92398359
191,1634965200000,203.41,201.0,204.29,200.61,4837.51370481
192,1634961600000,202.3,203.41,205.71,202.25,9452.26817974
193,1634958000000,202.1,203.09,203.81,201.1,6438.35527003
194,1634954400000,196.41,201.72,202.92,196.22,15829.59178159
195,1634950800000,197.32,196.33,198.02,195.04,2275.28706912
196,1634947200000,196.29,197.78,198.35,192.15,13383.56767425
197,1634943600000,197.24,196.34,198.33,195.43,4507.70822581
198,1634940000000,194.88,197.4,197.8,194.57,7842.70310346
199,1634936400000,196.12,194.85,196.99,193.0,34650.69673899
200,1634932800000,197.69,196.29,199.9,196.09,14015.14578652
201,1634929200000,200.88,197.64,200.88,195.47,21767.10076967
202,1634925600000,202.5,201.04,204.29,200.46,5829.09468077
203,1634922000000,207.96,202.58,208.03,202.58,6713.08804085
204,1634918400000,206.45,208.03,210.93,202.6,19844.64205193
205,1634914800000,209.74,206.44,214.99,205.69,41289.90308052
