,Date,Open,Close,High,Low,Volume
0,1635652800000,42.16,41.8,42.186,41.771,2043.9425504
1,1635649200000,42.421,42.106,42.439,41.878,2087.18850385
2,1635645600000,42.667,42.342,42.813,42.308,1178.35915286
3,1635642000000,43.174,42.621,43.191,42.597,616.72563722
4,1635638400000,42.723,43.217,43.381,42.625,5874.80039665
5,1635634800000,42.518,42.771,42.876,42.428,2126.75157647
6,1635631200000,42.919,42.506,42.919,42.148,8227.5132593
7,1635627600000,43.075,42.834,43.091,42.742,896.67326557
8,1635624000000,43.311,43.079,43.416,43.045,338.21346277
9,1635620400000,43.19,43.276,43.324,43.124,445.86088916
10,1635616800000,42.87,43.218,43.223,42.87,528.2613132
11,1635613200000,42.694,42.83,42.962,42.666,1598.35162762
12,1635609600000,43.01,42.777,43.067,42.676,1599.23383735
13,1635606000000,42.733,43.087,43.087,42.604,8211.11026892
14,1635602400000,43.046,42.742,43.074,42.47,6496.36037795
15,1635598800000,43.248,43.077,43.368,42.882,3482.85901588
16,1635595200000,43.433,43.269,43.433,43.165,999.3186961
17,1635591600000,43.407,43.361,43.588,43.253,2075.67013656
18,1635588000000,43.048,43.374,43.429,42.967,2909.56684371
19,1635584400000,42.849,43.038,43.205,42.776,1506.0300998
20,1635580800000,43.316,42.861,43.318,42.735,2926.23181908
21,1635577200000,43.289,43.283,43.457,43.184,1406.4036505
22,1635573600000,43.217,43.25,43.34,43.035,2035.44344436
23,1635570000000,42.995,43.188,43.239,42.939,2295.61792924
24,1635566400000,43.205,42.991,43.375,42.952,2852.93674069
25,1635562800000,43.445,43.172,43.528,43.077,2527.71652802
26,1635559200000,43.602,43.479,43.664,43.358,2759.24343792
27,1635555600000,43.735,43.595,43.989,43.538,2948.11740285
28,1635552000000,44.228,43.704,44.308,43.666,8514.34484848
29,1635548400000,44.168,44.194,44.194,43.886,3148.04989389
30,1635544800000,44.314,44.068,44.391,44.013,11146.16635157
31,1635541200000,44.191,44.314,44.314,44.077,6365.83469598
32,1635537600000,44.11,44.178,44.237,43.996,2983.2535269
33,1635534000000,44.147,44.093,44.313,43.838,8756.67800772
34,1635530400000,44.283,44.077,44.321,43.879,7537.85577671
35,1635526800000,43.666,44.258,44.265,43.532,4668.87376385
36,1635523200000,43.315,43.763,43.763,43.304,5166.57452307
37,1635519600000,42.487,43.321,43.401,42.446,7506.23410694
38,1635516000000,42.727,42.428,42.773,42.427,1021.19618655
